AGE;GENDER;DOMAIN;PhD;YEARSEXP;UOC_POSITION;USERWIKI;PU1;PU2;PU3;PEU1;PEU2;PEU3;ENJ1;ENJ2;Qu1;Qu2;Qu3;Qu4;Qu5;Vis1;Vis2;Vis3;Im1;Im2;Im3;SA1;SA2;SA3;Use1;Use2;Use3;Use4;Use5;Pf1;Pf2;Pf3;JR1;JR2;BI1;BI2;Inc1;Inc2;Inc3;Inc4;Exp1;Exp2;Exp3;Exp4;Exp5
50;male;Arts&Humanities;No;15;Assistant;No;3;2;3;4;4;3;4;4;3;2;3;4;4;4;3;3;3;?;2;4;4;4;3;2;4;4;4;2;2;2;4;2;4;4;5;5;3;3;4;5;2;1;2
50;male;Arts&Humanities;Yes;23;Associate;Yes;5;5;5;5;5;4;5;5;4;4;4;2;5;5;3;4;2;2;4;5;4;4;3;4;4;4;4;3;1;4;2;2;5;5;5;4;3;4;4;5;4;2;4
48;male;Arts&Humanities;Yes;16;Associate;No;5;5;5;4;4;4;4;4;4;4;3;2;3;4;3;1;4;3;4;5;5;5;1;4;4;4;4;5;5;3;5;5;5;5;5;5;1;1;5;5;5;1;4
51;male;Arts&Humanities;Yes;13;Associate;No;3;2;2;2;2;?;3;2;5;4;2;3;4;?;?;2;2;3;?;4;5;5;3;3;4;?;4;4;1;2;4;2;4;4;5;5;5;4;4;5;5;1;1
53;Female;Arts&Humanities;Yes;6;Associate;No;2;2;2;4;4;3;3;3;2;4;2;3;2;2;3;1;1;1;1;3;3;3;1;1;2;2;3;3;3;2;5;5;3;2;5;5;5;5;2;4;4;1;3
38;Female;Arts&Humanities;Yes;12;Assistant;No;3;4;3;5;?;2;4;4;4;4;3;3;3;3;2;2;2;3;3;4;4;4;3;2;3;3;3;3;2;1;3;2;3;3;5;5;5;5;4;4;2;2;3
48;Female;Arts&Humanities;Yes;16;Associate;No;3;3;3;5;5;2;4;3;3;3;3;4;2;2;4;2;3;3;3;5;4;4;3;3;4;1;3;1;1;1;3;2;2;4;4;1;1;5;4;5;4;1;3
55;Female;Arts&Humanities;Yes;9;Associate;Yes;4;4;4;4;4;4;3;3;3;3;3;2;3;4;3;1;3;2;3;4;4;5;4;2;4;2;4;2;1;2;4;4;4;4;5;5;5;5;4;4;4;3;5
45;Female;Arts&Humanities;Yes;18;Associate;No;2;2;3;5;5;4;4;5;4;3;3;4;4;4;?;2;1;2;3;5;5;5;2;2;2;2;4;2;3;3;5;2;3;3;5;5;5;5;2;4;5;1;1
44;Female;Arts&Humanities;Yes;?;Associate;No;1;2;2;5;5;3;2;2;2;2;2;4;1;1;3;1;1;3;2;5;4;4;1;1;2;1;3;3;3;2;5;3;1;1;4;2;2;2;2;3;2;1;5
44;Female;Arts&Humanities;Yes;15;Associate;No;3;3;5;5;4;3;3;5;3;3;3;4;3;3;4;1;1;2;2;5;5;5;2;1;3;2;3;5;5;3;5;4;4;4;5;5;5;5;5;5;2;1;3
32;Female;Arts&Humanities;Yes;3;Assistant;No;3;3;3;4;5;3;4;4;4;4;4;3;4;4;3;1;2;2;2;4;4;4;3;1;3;3;4;3;3;3;3;3;4;4;5;5;4;3;4;4;4;1;1
34;Female;Arts&Humanities;Yes;?;Associate;No;2;2;3;5;4;4;4;3;3;3;2;1;2;3;3;1;1;3;1;3;3;3;1;1;1;1;2;1;1;1;5;4;2;1;3;3;3;2;2;2;3;1;4
31;Female;Arts&Humanities;No;5;Lecturer;No;5;5;5;5;5;4;5;5;4;4;4;2;4;4;4;4;2;2;4;5;5;5;4;1;4;4;5;4;2;4;4;1;4;4;3;4;3;5;5;5;5;1;2
42;Female;Arts&Humanities;No;4;Lecturer;No;1;1;1;5;2;?;4;3;2;2;2;4;1;1;?;1;1;3;3;3;3;4;1;1;1;1;2;1;1;3;4;4;1;1;1;3;2;1;1;2;4;1;1
33;Female;Arts&Humanities;No;8;Lecturer;No;5;3;3;4;5;4;4;4;3;3;3;5;5;5;4;1;4;4;4;4;4;4;3;3;3;3;4;3;3;3;4;5;4;5;5;5;5;5;2;3;3;1;3
40;Female;Arts&Humanities;Yes;5;Assistant;No;5;5;5;5;5;?;4;5;4;4;4;1;5;5;4;4;3;3;4;5;5;5;4;2;5;2;5;1;3;2;5;3;5;5;5;5;5;5;5;5;5;1;2
31;Female;Arts&Humanities;Yes;5;Assistant;Yes;4;4;4;3;5;3;5;5;4;4;3;3;5;5;4;3;4;5;3;5;5;5;2;1;3;3;4;2;3;5;4;4;3;3;5;5;4;3;5;5;5;2;3
52;Female;Arts&Humanities;Yes;22;Associate;No;4;3;3;3;4;2;4;5;3;4;2;3;3;?;?;1;2;2;?;4;5;5;2;2;2;?;3;3;3;1;4;3;3;3;5;5;4;5;4;4;4;1;3
55;Female;Arts&Humanities;Yes;25;Associate;No;2;2;2;4;4;4;3;2;3;3;2;3;2;2;3;1;1;2;3;4;5;5;1;2;2;2;2;2;2;1;3;3;2;2;5;4;5;4;2;3;4;1;2
49;male;Arts&Humanities;No;6;Adjunct;No;5;5;5;5;5;5;5;5;4;5;4;4;5;3;?;5;2;3;4;5;5;5;4;1;5;5;5;5;5;4;?;?;5;5;5;5;5;5;5;5;5;1;3
51;male;Arts&Humanities;Yes;5;Adjunct;No;4;4;4;4;4;3;3;4;4;4;3;4;3;4;3;1;3;5;3;5;4;5;2;1;1;1;4;5;2;2;5;5;3;3;2;4;2;3;2;4;2;1;5
45;male;Arts&Humanities;No;9;Adjunct;No;4;4;4;4;4;3;4;2;3;3;2;2;3;3;3;3;2;1;2;5;5;?;3;3;4;3;3;2;3;2;2;2;3;4;4;4;4;4;4;4;4;2;5
52;male;Arts&Humanities;No;10;Adjunct;No;3;2;3;4;3;?;2;3;4;3;2;1;?;?;3;3;2;3;2;5;5;5;2;2;2;2;4;4;4;4;5;5;3;2;3;3;3;3;2;2;2;1;5
44;male;Arts&Humanities;Yes;20;Adjunct;No;3;4;4;4;4;2;5;4;4;3;3;3;3;3;3;1;2;2;2;3;2;3;1;1;3;2;4;1;1;1;3;3;3;3;3;5;3;3;2;3;1;1;1
46;male;Arts&Humanities;No;12;Adjunct;No;4;3;5;5;5;4;4;5;4;3;3;2;4;4;4;2;3;4;4;5;5;5;2;2;4;4;5;4;4;2;5;5;4;4;5;5;4;4;4;5;5;2;5
46;male;Arts&Humanities;No;10;Adjunct;No;3;2;2;5;5;4;3;3;3;4;4;4;3;2;3;1;2;3;2;5;5;5;1;1;2;1;3;1;1;1;5;5;1;1;3;1;1;1;1;2;5;1;1
43;male;Arts&Humanities;No;12;Adjunct;No;4;4;4;5;5;3;4;4;4;3;3;4;3;3;3;2;2;4;3;5;3;5;3;1;3;3;4;2;4;1;4;2;3;4;3;3;3;3;4;5;5;1;5
50;male;Arts&Humanities;No;12;Adjunct;Yes;5;3;5;3;5;3;5;4;4;4;3;1;4;4;3;3;3;5;5;5;5;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;5;5;1;3
44;male;Arts&Humanities;No;12;Adjunct;Yes;5;5;5;4;4;4;5;4;4;4;3;2;5;4;5;3;3;3;2;5;5;5;3;4;5;5;5;3;5;5;3;1;5;4;5;5;5;5;4;4;4;4;5
53;male;Arts&Humanities;No;5;Adjunct;No;3;3;3;3;3;2;3;2;4;4;4;3;4;2;2;2;3;2;3;5;5;5;3;2;3;3;5;2;4;?;4;3;3;3;1;4;4;4;4;4;4;2;2
33;male;Arts&Humanities;Yes;9;Adjunct;Yes;2;2;2;5;3;4;2;3;3;3;2;4;2;2;3;1;1;1;2;5;3;5;1;1;1;1;1;3;2;4;3;1;2;2;2;2;2;2;1;2;3;1;4
37;male;Arts&Humanities;No;6;Adjunct;No;4;3;5;5;5;4;4;4;5;4;4;2;4;3;4;2;3;3;5;4;4;4;3;3;3;3;4;5;4;4;4;2;3;3;4;5;5;3;2;5;5;1;3
40;male;Arts&Humanities;Yes;10;Adjunct;No;3;3;5;4;5;?;1;2;3;3;3;5;3;3;?;1;1;1;1;3;5;5;3;1;4;1;5;5;1;1;3;3;3;3;5;5;5;5;4;4;4;1;1
38;male;Arts&Humanities;No;7;Adjunct;No;3;4;4;4;4;3;4;4;4;4;3;4;4;4;3;1;2;3;4;5;5;5;3;3;4;4;4;2;4;3;5;3;4;4;4;4;4;4;4;4;4;2;4
50;male;Arts&Humanities;Yes;17;Adjunct;No;2;3;5;5;4;4;4;3;3;3;3;3;3;4;2;2;2;2;2;4;5;5;2;2;4;3;4;1;1;3;2;2;3;4;3;2;3;2;4;5;5;5;3
41;male;Arts&Humanities;Yes;10;Adjunct;No;3;3;4;3;5;4;4;3;4;4;3;2;3;2;3;3;4;4;3;3;4;4;2;2;4;4;3;2;3;2;3;3;3;3;3;3;4;4;5;5;5;3;2
53;male;Arts&Humanities;No;2;Adjunct;No;3;4;4;4;4;3;5;4;3;4;3;3;4;3;3;4;4;3;3;5;5;5;4;3;4;4;4;3;4;3;4;4;5;5;4;3;3;3;5;5;?;3;3
55;male;Arts&Humanities;No;20;Adjunct;No;4;3;4;5;4;5;4;4;3;4;3;3;4;3;3;1;2;3;4;4;4;5;3;3;3;4;4;1;2;2;4;3;3;3;3;3;3;3;3;4;4;1;5
40;male;Arts&Humanities;No;8;Adjunct;No;2;2;3;3;3;3;4;3;3;3;2;3;3;4;4;2;2;4;2;4;5;5;2;1;2;2;2;2;3;2;4;3;3;3;5;5;5;5;4;4;4;1;3
54;male;Arts&Humanities;Yes;7;Adjunct;No;3;4;4;4;4;4;5;4;3;3;2;2;3;3;3;1;2;2;4;3;4;4;2;1;3;2;4;1;2;1;5;5;3;3;4;4;4;4;4;5;5;1;1
45;male;Arts&Humanities;No;4;Adjunct;No;3;2;2;4;4;?;4;4;2;3;3;4;1;1;2;1;?;4;?;3;5;5;2;2;1;1;2;1;2;2;4;2;1;2;3;3;3;3;3;4;4;1;4
41;male;Arts&Humanities;Yes;11;Adjunct;No;4;3;3;5;5;4;5;5;2;3;3;3;2;4;3;1;2;3;4;5;5;4;2;1;2;2;3;1;3;2;4;3;3;3;4;4;3;2;4;5;5;1;1
40;male;Arts&Humanities;Yes;12;Adjunct;No;2;3;2;2;3;4;4;4;2;3;4;5;3;4;3;2;4;4;4;2;2;2;2;3;2;1;3;1;1;1;3;4;2;2;3;3;3;3;3;2;4;3;2
41;male;Arts&Humanities;No;6;Adjunct;No;2;2;3;5;5;5;3;5;2;3;3;3;3;4;4;1;2;2;2;5;4;5;1;1;1;1;2;3;4;4;4;4;1;2;5;3;3;4;2;2;3;1;4
55;male;Arts&Humanities;No;3;Adjunct;No;5;5;5;5;5;3;5;5;4;4;4;2;5;5;4;3;4;5;5;5;5;5;3;3;4;4;5;1;2;1;?;?;4;4;3;3;3;3;5;5;5;1;3
53;male;Arts&Humanities;Yes;10;Adjunct;Yes;5;5;5;5;5;5;5;5;5;4;4;3;4;4;2;2;2;4;3;5;5;5;3;3;4;4;3;4;5;4;5;4;4;4;5;4;5;5;4;4;4;4;4
38;male;Arts&Humanities;No;3;Adjunct;No;3;2;4;5;5;5;5;5;4;4;3;3;3;3;2;1;3;3;4;5;5;5;2;1;3;1;3;5;5;3;3;4;2;4;4;4;4;3;3;5;4;2;1
43;male;Arts&Humanities;No;7;Adjunct;Yes;2;3;4;?;5;5;4;5;4;4;4;4;5;3;4;4;3;4;5;5;5;5;4;4;4;4;4;3;3;3;5;5;4;4;5;3;5;3;4;5;5;3;2
44;male;Arts&Humanities;No;15;Adjunct;No;5;3;5;5;5;5;5;5;4;4;2;5;3;3;3;1;3;3;3;5;5;5;3;5;5;5;5;5;5;3;5;3;5;5;5;5;5;3;5;5;5;3;5
42;male;Arts&Humanities;Yes;18;Adjunct;No;2;2;4;5;4;4;4;4;4;3;3;4;2;3;3;1;2;1;2;5;3;5;1;1;2;3;4;5;5;4;2;4;4;3;3;2;2;2;4;5;3;4;1
48;male;Arts&Humanities;No;4;Adjunct;Yes;4;4;4;5;4;4;4;5;3;5;4;4;4;4;5;4;3;1;2;5;5;5;3;4;5;5;3;4;5;5;?;?;?;?;?;?;?;?;4;4;4;3;4
36;male;Arts&Humanities;No;11;Adjunct;Yes;3;4;5;5;4;4;5;5;4;4;2;5;4;3;4;1;3;4;4;5;5;5;2;3;4;4;5;2;3;1;4;4;4;4;2;2;4;4;4;5;5;3;2
49;male;Arts&Humanities;Yes;5;Adjunct;No;2;3;3;4;4;4;3;2;3;3;3;3;2;2;2;1;2;4;2;4;3;4;2;?;2;2;2;2;1;2;4;3;2;2;3;3;3;2;3;3;2;1;2
39;male;Arts&Humanities;Yes;6;Adjunct;No;1;1;2;5;3;3;2;3;2;2;2;5;1;3;3;1;3;1;3;5;5;5;1;2;2;1;3;1;1;3;5;5;2;1;5;3;5;5;2;1;3;1;2
42;male;Arts&Humanities;No;8;Adjunct;Yes;4;3;4;5;5;4;5;4;4;4;3;4;3;4;3;3;3;4;4;5;5;5;3;2;4;3;4;3;4;4;5;5;4;4;5;2;3;5;2;3;4;3;4
42;male;Arts&Humanities;No;9;Adjunct;No;2;2;1;5;5;3;4;4;3;3;3;5;3;?;?;1;2;3;1;3;3;4;1;1;1;1;2;2;4;2;3;4;2;2;4;5;5;3;2;2;3;1;4
44;male;Arts&Humanities;Yes;5;Adjunct;No;4;4;4;4;3;3;3;4;3;4;3;3;3;3;3;2;3;2;2;4;4;5;3;3;4;4;3;2;3;3;4;2;4;3;3;3;3;3;3;3;4;3;4
33;male;Arts&Humanities;No;3;Adjunct;No;3;3;4;4;4;2;4;4;4;4;4;2;4;3;3;4;3;3;4;4;5;4;4;3;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;5;2;4
36;male;Arts&Humanities;No;3;Adjunct;No;3;3;3;5;5;4;4;4;1;4;2;2;2;3;3;1;2;3;3;3;4;4;2;2;2;3;3;2;2;2;4;4;3;3;3;2;2;4;3;4;5;2;5
42;male;Arts&Humanities;Yes;10;Adjunct;No;3;3;3;5;5;3;4;4;4;4;3;2;3;3;3;1;2;4;3;5;5;5;1;1;1;1;2;1;1;1;5;5;3;3;3;3;3;3;2;2;4;1;3
62;male;Arts&Humanities;No;4;Adjunct;No;4;4;3;4;4;?;5;5;2;3;5;3;2;4;4;2;5;4;5;5;5;5;?;?;3;5;3;1;3;1;5;5;3;4;5;5;5;5;?;?;?;?;?
44;male;Arts&Humanities;No;3;Adjunct;Yes;2;3;3;4;4;4;3;3;4;4;4;3;3;4;3;3;3;4;3;3;4;4;3;1;2;2;3;2;1;3;4;3;2;2;4;3;4;4;3;4;4;2;4
36;male;Arts&Humanities;No;3;Adjunct;No;4;3;3;5;5;3;3;4;3;3;3;4;3;3;2;2;2;3;3;5;5;5;2;3;3;3;3;3;4;4;3;3;4;4;4;4;3;3;3;4;4;1;3
37;male;Arts&Humanities;Yes;4;Adjunct;No;3;3;1;1;2;1;1;2;2;2;2;3;3;3;2;4;2;2;2;1;1;2;3;1;3;4;1;5;4;5;1;2;3;3;1;2;3;2;4;4;2;3;2
51;male;Arts&Humanities;No;8;Adjunct;No;3;4;5;3;5;3;4;4;3;4;3;3;3;3;3;1;4;3;4;4;3;5;4;3;4;4;3;1;1;1;4;4;4;4;5;5;5;4;4;4;2;2;4
48;male;Arts&Humanities;No;2;Adjunct;No;4;4;4;5;4;3;4;4;3;3;3;3;3;3;3;3;2;4;3;4;4;5;3;3;4;3;3;1;3;1;3;4;3;3;5;4;5;4;4;4;4;2;2
32;male;Arts&Humanities;No;2;Adjunct;No;2;2;3;4;4;3;3;4;2;2;2;4;2;3;3;1;2;3;3;4;4;5;2;2;2;2;?;4;5;3;4;4;3;3;3;3;3;3;3;4;5;4;3
54;male;Arts&Humanities;No;1;Adjunct;No;4;4;4;4;4;?;4;3;3;?;4;2;3;?;?;2;3;4;4;5;5;5;2;2;3;2;4;2;2;1;5;5;3;3;5;5;5;5;4;3;4;1;3
35;male;Arts&Humanities;No;3;Adjunct;Yes;2;2;3;3;3;4;3;3;3;2;2;2;2;2;3;1;3;3;3;4;4;4;2;2;2;2;2;4;4;3;4;3;2;2;4;4;4;3;2;2;3;4;2
35;male;Arts&Humanities;Yes;6;Adjunct;No;5;5;5;5;5;3;5;3;4;4;4;1;4;4;3;1;3;3;3;5;4;5;5;1;4;4;5;1;3;1;1;1;5;5;5;3;3;5;4;3;1;1;1
32;male;Arts&Humanities;No;1;Adjunct;No;4;5;4;5;5;3;5;5;4;4;4;2;4;4;3;3;4;4;4;4;5;5;1;1;3;3;5;2;4;1;3;4;4;3;5;5;5;5;5;5;5;1;5
39;male;Arts&Humanities;No;7;Adjunct;No;3;3;3;5;5;4;5;5;4;4;4;3;3;3;3;2;3;4;3;3;3;4;3;1;3;3;3;1;2;1;4;4;3;3;5;5;5;2;4;5;5;1;5
33;male;Arts&Humanities;No;?;Adjunct;No;2;3;2;5;4;4;4;3;2;4;3;3;3;3;4;1;2;4;3;?;4;4;1;1;2;1;3;1;1;1;5;5;3;2;4;3;2;2;1;2;2;1;1
55;male;Arts&Humanities;No;12;Adjunct;Yes;3;4;4;4;4;3;3;3;3;3;3;3;3;2;2;4;3;5;5;5;5;5;3;1;5;4;5;3;3;3;4;2;5;5;3;4;3;5;5;5;5;5;2
46;male;Arts&Humanities;No;15;Adjunct;No;4;4;4;3;3;3;3;3;4;4;4;4;4;5;4;4;4;3;4;5;5;5;4;4;4;4;4;4;4;5;2;2;4;4;4;2;4;4;4;4;4;3;4
51;male;Arts&Humanities;No;15;Adjunct;No;4;3;3;4;4;4;4;4;3;3;3;3;3;3;3;2;3;5;3;4;4;5;2;2;3;3;4;2;5;3;4;3;4;4;4;4;5;?;4;4;4;4;2
49;Female;Arts&Humanities;No;15;Adjunct;No;4;5;5;5;4;?;4;4;5;5;4;1;?;?;?;2;4;3;4;5;5;5;3;1;4;4;5;3;5;5;4;?;4;4;5;5;3;5;5;5;5;1;5
45;Female;Arts&Humanities;No;14;Adjunct;No;2;5;5;5;5;2;5;5;4;3;3;1;4;1;1;1;1;4;1;5;1;5;2;1;3;5;1;3;2;1;5;2;5;3;3;5;3;3;5;5;5;1;4
53;Female;Arts&Humanities;No;20;Adjunct;No;3;3;5;5;5;5;3;3;1;2;3;5;1;3;4;3;3;5;2;5;5;5;2;1;3;1;5;1;3;2;5;5;2;2;5;4;3;5;1;4;3;1;4
49;Female;Arts&Humanities;No;16;Adjunct;No;2;1;3;2;5;4;3;4;3;4;3;5;1;3;3;1;1;1;1;5;3;4;1;1;1;?;2;2;2;1;1;1;2;2;5;5;5;5;2;2;1;1;1
46;Female;Arts&Humanities;No;1;Adjunct;No;4;4;4;4;4;4;4;4;4;3;4;2;4;3;4;3;3;3;3;3;3;3;2;2;3;3;3;2;3;3;4;4;3;3;5;3;3;5;3;4;4;1;4
53;Female;Arts&Humanities;No;1;Adjunct;No;3;3;3;5;5;5;5;5;3;3;3;3;4;?;?;1;3;5;?;5;3;5;1;1;2;1;3;4;3;3;4;?;?;?;4;4;4;4;1;3;3;1;1
46;Female;Arts&Humanities;No;15;Adjunct;Yes;3;3;5;4;4;5;5;5;3;3;2;2;4;5;2;4;2;4;2;5;5;5;5;5;4;4;3;4;5;5;2;1;5;5;3;5;3;5;5;5;5;4;4
43;Female;Arts&Humanities;No;7;Adjunct;No;3;4;5;3;5;2;4;4;4;3;3;3;3;2;2;3;3;3;2;3;3;3;3;3;3;3;4;1;1;1;5;5;3;3;5;4;5;5;4;4;5;1;5
39;Female;Arts&Humanities;Yes;7;Adjunct;Yes;4;4;5;4;4;5;5;3;4;3;3;3;5;3;4;3;3;5;3;5;5;5;3;3;4;4;4;5;5;5;5;3;3;3;4;4;4;4;4;4;4;5;3
42;Female;Arts&Humanities;Yes;16;Adjunct;No;2;2;3;4;5;5;5;5;3;3;3;2;2;4;?;1;2;4;2;5;5;5;2;1;3;3;3;1;2;4;4;4;3;3;?;?;4;4;4;4;4;1;3
44;Female;Arts&Humanities;Yes;20;Adjunct;No;3;3;3;5;5;4;4;4;2;2;3;2;2;2;3;1;2;3;3;5;4;4;2;1;1;1;3;2;3;3;4;4;2;2;5;4;4;4;2;3;3;1;2
46;Female;Arts&Humanities;No;6;Adjunct;No;3;2;3;5;3;3;4;4;2;2;2;4;3;4;4;5;2;3;2;5;5;5;4;2;4;4;4;4;5;4;3;1;3;3;5;4;3;3;2;2;4;1;4
52;Female;Arts&Humanities;No;11;Adjunct;No;2;3;3;5;3;4;3;3;3;3;?;4;2;2;3;1;2;3;3;5;5;5;1;2;2;2;2;3;4;5;4;4;2;2;3;2;2;2;2;3;3;3;5
49;Female;Arts&Humanities;No;5;Adjunct;No;3;3;5;4;4;3;4;4;3;3;3;4;4;2;2;3;3;4;2;5;5;5;1;1;3;3;4;2;2;2;4;4;3;3;4;5;5;3;3;4;4;1;1
47;Female;Arts&Humanities;No;5;Adjunct;No;3;5;3;5;5;2;4;5;3;3;2;4;4;3;2;2;3;4;3;5;5;5;2;1;2;2;4;1;5;3;3;3;4;4;5;3;5;5;4;5;5;1;3
49;Female;Arts&Humanities;No;18;Adjunct;No;3;3;4;5;4;3;4;4;3;3;3;4;3;4;3;3;2;3;3;4;4;5;3;2;4;4;4;3;3;4;2;2;3;3;4;4;4;5;4;4;3;1;3
45;Female;Arts&Humanities;No;16;Adjunct;No;3;3;5;5;4;5;3;4;3;4;3;4;3;3;4;1;2;4;3;5;4;4;2;1;3;3;3;1;2;3;4;3;3;3;4;4;4;3;5;5;5;2;2
33;Female;Arts&Humanities;No;2;Adjunct;No;3;3;3;4;4;4;5;5;3;4;3;2;4;3;3;3;3;4;4;5;5;5;3;1;3;3;4;3;4;3;5;5;4;4;4;4;4;4;3;5;5;1;5
44;Female;Arts&Humanities;No;12;Adjunct;No;2;2;3;3;2;3;3;2;2;2;2;2;3;2;2;2;?;?;?;?;?;?;3;3;2;2;?;2;3;1;?;?;?;?;3;4;4;4;2;2;3;1;2
48;Female;Arts&Humanities;No;4;Adjunct;No;1;1;1;4;4;4;1;4;2;3;1;4;1;1;2;1;1;3;1;3;2;3;1;1;1;1;1;1;3;1;3;3;1;1;1;1;1;1;2;2;2;1;5
39;Female;Arts&Humanities;Yes;6;Adjunct;No;3;2;4;4;3;3;4;4;4;4;4;3;2;2;1;2;2;2;3;5;5;4;4;2;3;2;3;1;1;2;4;4;4;4;5;4;5;5;3;4;4;2;2
49;Female;Arts&Humanities;No;5;Adjunct;Yes;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;3;3;5;3;5;5;5;?;3;3;3;5;3;3;3;5;5;5;5;5;5;5;5;5;5;5;3;3
37;Female;Arts&Humanities;Yes;10;Adjunct;No;2;2;2;5;5;?;3;3;2;5;3;3;2;?;?;1;2;3;2;5;5;5;1;1;2;1;3;1;4;1;2;2;2;2;2;4;3;3;3;4;4;1;4
45;Female;Arts&Humanities;No;15;Adjunct;No;3;3;3;5;5;5;3;2;3;3;3;3;3;3;5;2;2;3;2;4;4;5;1;1;2;2;3;1;1;2;2;2;3;3;3;3;3;3;3;4;1;1;2
52;Female;Arts&Humanities;No;28;Adjunct;No;2;2;3;4;4;3;5;5;3;3;2;4;3;?;?;3;1;5;?;5;5;5;2;1;2;1;2;3;3;3;5;5;2;2;5;5;5;2;2;2;4;1;2
49;Female;Arts&Humanities;No;4;Adjunct;No;3;3;2;5;4;3;5;5;2;2;2;4;2;2;3;1;1;5;2;5;5;5;1;2;1;1;2;2;4;4;4;4;1;1;3;3;3;3;2;2;2;2;2
39;Female;Arts&Humanities;No;7;Adjunct;No;2;3;3;5;5;2;5;5;3;3;3;4;1;?;?;1;2;3;3;5;5;5;1;1;1;2;2;2;3;4;4;5;2;2;5;5;5;5;2;3;5;1;3
41;Female;Arts&Humanities;Yes;2;Adjunct;Yes;3;3;4;5;5;4;3;5;3;4;3;3;4;3;4;3;2;2;3;4;4;4;2;2;4;2;3;3;4;3;5;4;4;4;5;3;5;3;4;4;4;4;2
41;Female;Arts&Humanities;No;6;Adjunct;No;3;2;3;4;4;4;2;2;2;2;2;3;1;1;2;1;2;4;2;5;5;5;1;1;2;2;2;2;3;1;4;2;2;2;4;3;3;4;1;1;1;1;1
43;Female;Arts&Humanities;Yes;20;Adjunct;No;2;3;3;5;3;4;1;5;2;4;2;5;4;5;2;1;1;2;1;5;5;5;1;2;1;1;2;5;3;5;5;5;1;1;3;1;4;2;2;2;2;1;2
33;Female;Arts&Humanities;No;10;Adjunct;Yes;3;4;4;5;5;4;4;4;4;4;3;5;4;4;5;2;1;3;2;5;5;5;2;1;4;4;4;2;3;3;4;4;4;4;4;3;3;3;3;5;5;3;4
54;Female;Arts&Humanities;Yes;4;Adjunct;No;1;1;2;5;3;5;3;3;2;3;3;1;1;2;4;1;1;3;1;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;4;1;1;3;1;1
42;Female;Arts&Humanities;No;14;Adjunct;No;4;4;5;5;4;3;5;4;4;4;4;2;4;?;?;1;3;4;?;4;5;5;3;1;?;?;3;2;4;?;4;?;3;3;5;5;4;5;4;4;4;1;1
